firmware-iwlwifi,required for my wifi card
sbsigntool,required for secure boot
mokutil,required for secure boot
nvidia-settings,required for nvidia
nvidia-kernel-dkms,required for nvidia
nvidia-cuda-mps,required for nvidia
nvidia-driver,required for nvidia
vulkan-tools,required for nvidia
gnome-core,a desktop environment
synaptic,a package manager
alacritty,a terminal emulator
zsh,a shell
curl,a command line tool
wget,a command line tool
git,a version control system
i3,a window manager
feh,a wallpaper setter
fzf,a fuzzy finder
compton,a compositor
pavucontrol,a volume control
sxhkd,a hotkey daemon
fonts-ubuntu,a font package
solaar,a logitech device manager
ca-certificates,a certificate manager
gnupg,a gpg key manager

